"Timestamp","1. W jaki sposób najczęściej korzystasz z komputera? (proszę zaznacz odpowiedź najbliższą prawdy)","2. Jakiego systemu operacyjnego używasz?","3. Czy instalujesz samodzielnie wszystkie programy na swoim komputerze?","4. Czy kiedykolwiek znalazłeś/aś zainstalowany program którego nie rozpoznałeś/aś?","5. Jak bardzo legalność oprogramowania na Twoim komputerze ma dla Ciebie znaczenie?","6. Jak bardzo licencja oprogramowania ma dla Ciebie znaczenie?","7. Jaki problem uważasz za najważniejszy dla Ciebie w kontekście licencji?","8. Jak wyszukujesz informacji o licencji oprogramowania zainstalowanego na Twoim komputerze?","9. Czy zdarza Ci się mieć problem ze znalezieniem licencji/gwarancji oprogramowania którego używasz?","10. Czy w dowolnej chwili jesteś w stanie zestawić terminy ważności licencji na każdy program którego używasz/masz zainstalowany na komputerze?"
"2018/04/03 9:17:47 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 9:18:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:18:30 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:19:00 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","nieważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:23:20 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:25:07 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:27:49 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","tak, mam te dane spisane"
"2018/04/03 9:28:15 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:29:24 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:34:32 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 9:35:05 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:36:20 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:36:22 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie, dzielę użytek komputera z inną osobą lub osobami","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:37:45 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:38:11 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","mam zapisane dane w pliku i je przeszukuję","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:38:23 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:39:18 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:39:59 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:41:15 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","nigdy o tym nie myślałem","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:41:35 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 9:41:53 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","bardzo ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:44:44 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:44:55 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:45:46 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:45:48 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:46:06 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:46:21 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:46:25 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 9:48:59 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","mam zapisane dane w pliku i je przeszukuję","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:49:29 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:49:44 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Mac","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:50:25 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nieważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:50:33 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","Drogie jak na polskie realia zarobkowe","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:55:59 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:57:14 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nieważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:57:20 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:57:21 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:58:09 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 9:58:24 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:58:34 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:58:57 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:59:35 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:00:28 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","nigdy o tym nie myślałem","nie mam problemów z licencjami","nigdy nie szukam tej informacji","tak","tak, mam te dane spisane"
"2018/04/03 10:00:32 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 10:01:34 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:02:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:02:15 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:04:04 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","mam zapisane dane w pliku i je przeszukuję","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:05:26 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 10:07:08 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:09:10 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:09:33 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:11:13 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 10:12:43 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","bardzo ważne","całkiem ważne","nie mam problemów z licencjami","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:13:37 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:14:07 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:16:35 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","bardzo ważne","nie mam problemów z licencjami","cyfrowy podpis + licencja cyfrowa","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:16:53 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:17:32 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:17:38 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:18:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","tak","nie"
"2018/04/03 10:20:15 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:22:29 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Hi Rez System Beta OB 0000000000001","Hi Chris za mnei instaluje wszystko! Nawet dane z Pentagonu i Teheranu czy Hongkongu","tak, i to był System operacyjny :v a na powaznie to miałem takie dwie sytuacje, okazało się że były to programy : aimbot i wallhack i do tej pory nwm jak one sie znalazły na moim komputerze :/","bardzo ważne","nieważne","Wspaniłe lektury do poczytunku,t tyko są lekkawo przykrótkie,t akie 600 stron byłoby idealne","mam magiczna rozczke z buawowego drewna wyzezbioną przez zacnego Pana AleSieNaJebauem. To ona wskazuje mi droge do licencji!","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:23:12 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:23:17 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","zapoznaję się z licencją podczas instalacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:23:50 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:23:56 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:25:23 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","przeglądam wpisy w ustawieniach danego programu","nie","nie"
"2018/04/03 10:26:17 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:26:24 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:26:32 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:28:37 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","przeglądam wpisy w ustawieniach danego programu","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:28:51 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 10:29:54 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:30:08 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 10:32:11 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:33:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:33:52 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiał to zainstalować ktoś inny, ale nie wiem dlaczego","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 10:35:22 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","nieważne","nieważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:35:36 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:36:30 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 10:38:41 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 10:41:03 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
