"Timestamp","1. W jaki sposób najczęściej korzystasz z komputera? (proszę zaznacz odpowiedź najbliższą prawdy)","2. Jakiego systemu operacyjnego używasz?","3. Czy instalujesz samodzielnie wszystkie programy na swoim komputerze?","4. Czy kiedykolwiek znalazłeś/aś zainstalowany program którego nie rozpoznałeś/aś?","5. Jak bardzo legalność oprogramowania na Twoim komputerze ma dla Ciebie znaczenie?","6. Jak bardzo licencja oprogramowania ma dla Ciebie znaczenie?","7. Jaki problem uważasz za najważniejszy dla Ciebie w kontekście licencji?","8. Jak wyszukujesz informacji o licencji oprogramowania zainstalowanego na Twoim komputerze?","9. Czy zdarza Ci się mieć problem ze znalezieniem licencji/gwarancji oprogramowania którego używasz?","10. Czy w dowolnej chwili jesteś w stanie zestawić terminy ważności licencji na każdy program którego używasz/masz zainstalowany na komputerze?"
"2018/04/03 8:42:20 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiał to zainstalować ktoś inny, ale nie wiem dlaczego","całkiem ważne","mało ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 8:42:22 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 8:43:33 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","mało ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 8:44:38 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 8:44:41 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 8:44:47 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 8:44:48 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie pamiętam takiej sytuacji","całkiem ważne","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 8:45:13 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux;AdolfOS","repozytoria Wehrmachtu","stalinowskie wirusy","bardzo ważne","bardzo ważne","nie zawsze są po niemiecku :(","nie mam czasu na takie rzeczy, zlecam to Gestapo","tak","nie"
"2018/04/03 8:45:16 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","Czasem licencje są tylko na rok i to jest irytujące ","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 8:45:33 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
